question_id,category,source_entity,method,latency_s,top1_similarity,top1_chunk_id,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5
ZI_022,zone_identification,AISLE_02,fixed,0.021676,0.6149,fixed_013,1.0,1.0,1.0,1.0,1.0,1.0
ZI_023,zone_identification,ZONE_06,fixed,0.019078,0.4589,fixed_019,1.0,1.0,1.0,1.0,1.0,1.0
ZI_024,zone_identification,FEAT_06,fixed,0.019427,0.1108,fixed_011,1.0,1.0,1.0,1.0,1.0,1.0
ZI_025,zone_identification,AISLE_05,fixed,0.020153,0.6073,fixed_014,1.0,1.0,1.0,1.0,1.0,1.0
ZI_026,zone_identification,FEAT_02,fixed,0.020072,0.1226,fixed_005,0.0,1.0,1.0,0.0,0.3333,0.3333
ZI_027,zone_identification,AISLE_04,fixed,0.020109,0.6236,fixed_014,1.0,1.0,1.0,1.0,1.0,1.0
ZI_028,zone_identification,ZONE_01,fixed,0.019609,0.4442,fixed_005,0.0,1.0,1.0,0.0,0.5,0.5
ZI_029,zone_identification,FEAT_04,fixed,0.019911,0.1154,fixed_030,0.0,1.0,1.0,0.0,0.5,0.5
ZI_030,zone_identification,AISLE_06,fixed,0.020582,0.6238,fixed_015,1.0,1.0,1.0,1.0,1.0,1.0
NAV_001,navigation,ROUTE_02,fixed,0.019255,0.7035,fixed_025,0.0,1.0,1.0,0.0,0.5,0.5
NAV_002,navigation,ROUTE_03,fixed,0.024947,0.6594,fixed_025,0.0,1.0,1.0,0.0,0.5,0.5
NAV_003,navigation,ROUTE_05,fixed,0.020149,0.7654,fixed_026,0.0,1.0,1.0,0.0,0.5,0.5
NAV_004,navigation,ROUTE_07,fixed,0.019452,0.6579,fixed_025,0.0,1.0,1.0,0.0,0.3333,0.3333
NAV_005,navigation,ROUTE_09,fixed,0.065319,0.7355,fixed_024,1.0,1.0,1.0,1.0,1.0,1.0
NAV_006,navigation,ROUTE_10,fixed,0.062334,0.7788,fixed_025,1.0,1.0,1.0,1.0,1.0,1.0
NAV_007,navigation,ROUTE_11,fixed,0.0264,0.7122,fixed_025,1.0,1.0,1.0,1.0,1.0,1.0
NAV_008,navigation,ROUTE_13,fixed,0.021596,0.7693,fixed_026,1.0,1.0,1.0,1.0,1.0,1.0
NAV_009,navigation,ROUTE_14,fixed,0.022242,0.76,fixed_025,0.0,1.0,1.0,0.0,0.5,0.5
NAV_010,navigation,ROUTE_15,fixed,0.096939,0.7179,fixed_026,1.0,1.0,1.0,1.0,1.0,1.0
NAV_011,navigation,ROUTE_08,fixed,0.021345,0.6723,fixed_011,0.0,1.0,1.0,0.0,0.5,0.5
NAV_012,navigation,ROUTE_06,fixed,0.022057,0.7185,fixed_025,0.0,0.0,0.0,0.0,0.0,0.0
NAV_013,navigation,ROUTE_04,fixed,0.034081,0.6785,fixed_003,0.0,0.0,0.0,0.0,0.0,0.0
NAV_014,navigation,SCENARIO_01,fixed,0.027126,0.6079,fixed_044,1.0,1.0,1.0,1.0,1.0,1.0
NAV_015,navigation,SCENARIO_02,fixed,0.023564,0.4348,fixed_028,0.0,1.0,1.0,0.0,0.5,0.5
NAV_016,navigation,ZONE_05,fixed,0.022493,0.6401,fixed_003,0.0,1.0,1.0,0.0,0.3333,0.3333
NAV_017,navigation,ZONE_08,fixed,0.022884,0.521,fixed_025,1.0,1.0,1.0,1.0,1.0,1.0
NAV_018,navigation,ROUTE_12,fixed,0.0233,0.6995,fixed_026,0.0,1.0,1.0,0.0,0.5,0.5
NAV_019,navigation,SCENARIO_05,fixed,0.02276,0.514,fixed_035,0.0,0.0,0.0,0.0,0.0,0.0
NAV_020,navigation,ZONE_03,fixed,0.021877,0.6501,fixed_025,1.0,1.0,1.0,1.0,1.0,1.0
NAV_021,navigation,SCENARIO_06,fixed,0.06778,0.4877,fixed_046,1.0,1.0,1.0,1.0,1.0,1.0
NAV_022,navigation,ZONE_09,fixed,0.021899,0.6272,fixed_003,1.0,1.0,1.0,1.0,1.0,1.0
NAV_023,navigation,ROUTE_01,fixed,0.021799,0.7572,fixed_005,0.0,0.0,0.0,0.0,0.0,0.0
NAV_024,navigation,ZONE_09,fixed,0.02149,0.6325,fixed_026,1.0,1.0,1.0,1.0,1.0,1.0
NAV_025,navigation,ZONE_06,fixed,0.021351,0.6855,fixed_026,1.0,1.0,1.0,1.0,1.0,1.0
NAV_026,navigation,ZONE_08,fixed,0.023481,0.4698,fixed_026,1.0,1.0,1.0,1.0,1.0,1.0
NAV_027,navigation,ZONE_07,fixed,0.021606,0.7904,fixed_025,0.0,1.0,1.0,0.0,0.3333,0.3333
NAV_028,navigation,SCENARIO_03,fixed,0.067843,0.5373,fixed_045,1.0,1.0,1.0,1.0,1.0,1.0
NAV_029,navigation,AISLE_07,fixed,0.023997,0.6745,fixed_024,0.0,0.0,1.0,0.0,0.0,0.2
NAV_030,navigation,ZONE_09,fixed,0.022024,0.6071,fixed_023,0.0,1.0,1.0,0.0,0.5,0.5
SR_001,spatial_relations,ZONE_06,fixed,0.0217,0.7132,fixed_008,1.0,1.0,1.0,1.0,1.0,1.0
SR_002,spatial_relations,ZONE_03,fixed,0.027176,0.6755,fixed_006,1.0,1.0,1.0,1.0,1.0,1.0
SR_003,spatial_relations,ZONE_01,fixed,0.027456,0.5435,fixed_036,1.0,1.0,1.0,1.0,1.0,1.0
SR_004,spatial_relations,ZONE_08,fixed,0.026773,0.7522,fixed_011,1.0,1.0,1.0,1.0,1.0,1.0
SR_005,spatial_relations,AISLE_05,fixed,0.024555,0.473,fixed_016,0.0,0.0,1.0,0.0,0.0,0.2
SR_006,spatial_relations,ZONE_04,fixed,0.022279,0.7497,fixed_007,1.0,1.0,1.0,1.0,1.0,1.0
SR_007,spatial_relations,AISLE_02,fixed,0.023643,0.4928,fixed_016,0.0,1.0,1.0,0.0,0.5,0.5
SR_008,spatial_relations,ZONE_03,fixed,0.02695,0.5997,fixed_010,1.0,1.0,1.0,1.0,1.0,1.0
SR_009,spatial_relations,ZONE_09,fixed,0.026992,0.7102,fixed_011,1.0,1.0,1.0,1.0,1.0,1.0
SR_010,spatial_relations,AISLE_03,fixed,0.022909,0.522,fixed_016,0.0,0.0,1.0,0.0,0.0,0.2
SR_011,spatial_relations,AISLE_06,fixed,0.022705,0.4309,fixed_016,0.0,1.0,1.0,0.0,0.5,0.5
SR_012,spatial_relations,ZONE_07,fixed,0.030172,0.6285,fixed_010,0.0,1.0,1.0,0.0,0.5,0.5
SR_013,spatial_relations,ZONE_02,fixed,0.022387,0.5072,fixed_011,0.0,1.0,1.0,0.0,0.3333,0.3333
SR_014,spatial_relations,ZONE_01,fixed,0.023786,0.6431,fixed_002,0.0,1.0,1.0,0.0,0.5,0.5
SR_015,spatial_relations,ZONE_09,fixed,0.023044,0.4177,fixed_019,1.0,1.0,1.0,1.0,1.0,1.0
SR_016,spatial_relations,ZONE_05,fixed,0.022398,0.7404,fixed_011,1.0,1.0,1.0,1.0,1.0,1.0
SR_017,spatial_relations,ZONE_06,fixed,0.023541,0.6364,fixed_009,1.0,1.0,1.0,1.0,1.0,1.0
SR_018,spatial_relations,FEAT_04,fixed,0.023513,0.4322,fixed_002,0.0,1.0,1.0,0.0,0.5,0.5
SR_019,spatial_relations,ZONE_07,fixed,0.021664,0.6939,fixed_010,0.0,1.0,1.0,0.0,0.5,0.5
SR_020,spatial_relations,AISLE_01,fixed,0.021611,0.4744,fixed_016,0.0,1.0,1.0,0.0,0.3333,0.3333
SR_021,spatial_relations,ZONE_05,fixed,0.02113,0.6979,fixed_011,1.0,1.0,1.0,1.0,1.0,1.0
SR_022,spatial_relations,AISLE_07,fixed,0.020651,0.4367,fixed_016,0.0,1.0,1.0,0.0,0.5,0.5
SR_023,spatial_relations,ZONE_01,fixed,0.027528,0.6366,fixed_036,1.0,1.0,1.0,1.0,1.0,1.0
SR_024,spatial_relations,ZONE_01,fixed,0.025677,0.6257,fixed_036,1.0,1.0,1.0,1.0,1.0,1.0
SR_025,spatial_relations,ZONE_04,fixed,0.02102,0.7586,fixed_007,1.0,1.0,1.0,1.0,1.0,1.0
SR_026,spatial_relations,AISLE_07,fixed,0.019981,0.4815,fixed_016,0.0,1.0,1.0,0.0,0.5,0.5
SR_027,spatial_relations,ZONE_06,fixed,0.020237,0.7263,fixed_008,1.0,1.0,1.0,1.0,1.0,1.0
SR_028,spatial_relations,FEAT_05,fixed,0.024651,0.7314,fixed_037,1.0,1.0,1.0,1.0,1.0,1.0
SR_029,spatial_relations,ZONE_02,fixed,0.020244,0.7474,fixed_005,1.0,1.0,1.0,1.0,1.0,1.0
SR_030,spatial_relations,AISLE_04,fixed,0.019504,0.4569,fixed_016,0.0,0.0,1.0,0.0,0.0,0.2
DIS_001,disambiguation,SECTION_8,fixed,0.021007,0.5051,fixed_031,0.0,0.0,0.0,0.0,0.0,0.0
DIS_002,disambiguation,SECTION_8,fixed,0.027629,0.4786,fixed_034,0.0,0.0,0.0,0.0,0.0,0.0
DIS_003,disambiguation,SECTION_8,fixed,0.021301,0.519,fixed_028,0.0,0.0,0.0,0.0,0.0,0.0
DIS_004,disambiguation,SECTION_8,fixed,0.02099,0.5519,fixed_040,0.0,0.0,0.0,0.0,0.0,0.0
DIS_005,disambiguation,SECTION_8,fixed,0.02754,0.3708,fixed_027,0.0,0.0,0.0,0.0,0.0,0.0
DIS_006,disambiguation,SECTION_8,fixed,0.025523,0.533,fixed_040,0.0,0.0,0.0,0.0,0.0,0.0
DIS_007,disambiguation,SECTION_8,fixed,0.025369,0.5125,fixed_026,0.0,0.0,0.0,0.0,0.0,0.0
DIS_008,disambiguation,SECTION_8,fixed,0.021763,0.5987,fixed_031,0.0,0.0,0.0,0.0,0.0,0.0
DIS_009,disambiguation,SECTION_8,fixed,0.02118,0.4733,fixed_031,0.0,0.0,0.0,0.0,0.0,0.0
DIS_010,disambiguation,SECTION_8,fixed,0.020681,0.6413,fixed_040,0.0,0.0,0.0,0.0,0.0,0.0
DIS_011,disambiguation,SECTION_8,fixed,0.020664,0.3756,fixed_042,0.0,0.0,0.0,0.0,0.0,0.0
DIS_012,disambiguation,SECTION_8,fixed,0.021167,0.6141,fixed_007,0.0,0.0,0.0,0.0,0.0,0.0
DIS_013,disambiguation,SECTION_0,fixed,0.025753,0.4248,fixed_016,0.0,0.0,0.0,0.0,0.0,0.0
DIS_014,disambiguation,SECTION_8,fixed,0.028448,0.468,fixed_034,0.0,0.0,0.0,0.0,0.0,0.0
DIS_015,disambiguation,SECTION_8,fixed,0.023282,0.3156,fixed_031,0.0,0.0,0.0,0.0,0.0,0.0
DIS_016,disambiguation,SECTION_8,fixed,0.021349,0.5693,fixed_009,0.0,0.0,0.0,0.0,0.0,0.0
DIS_017,disambiguation,ZONE_02,fixed,0.026842,0.6762,fixed_005,1.0,1.0,1.0,1.0,1.0,1.0
DIS_018,disambiguation,SECTION_8,fixed,0.022563,0.2161,fixed_038,0.0,0.0,0.0,0.0,0.0,0.0
DIS_019,disambiguation,SECTION_8,fixed,0.060033,0.5159,fixed_032,0.0,0.0,0.0,0.0,0.0,0.0
DIS_020,disambiguation,SECTION_8,fixed,0.027508,0.5271,fixed_041,0.0,0.0,0.0,0.0,0.0,0.0
DIS_021,disambiguation,SECTION_8,fixed,0.024473,0.3606,fixed_032,0.0,0.0,0.0,0.0,0.0,0.0
DIS_022,disambiguation,SECTION_8,fixed,0.027738,0.3387,fixed_020,0.0,0.0,0.0,0.0,0.0,0.0
DIS_023,disambiguation,SECTION_8,fixed,0.027429,0.2731,fixed_030,0.0,0.0,0.0,0.0,0.0,0.0
DIS_024,disambiguation,SECTION_8,fixed,0.021426,0.7355,fixed_007,0.0,0.0,0.0,0.0,0.0,0.0
DIS_025,disambiguation,ITEM_06,fixed,0.025159,0.4506,fixed_031,0.0,0.0,0.0,0.0,0.0,0.0
DIS_026,disambiguation,SECTION_8,fixed,0.030348,0.3489,fixed_038,0.0,0.0,0.0,0.0,0.0,0.0
DIS_027,disambiguation,SECTION_8,fixed,0.024041,0.3731,fixed_005,0.0,0.0,0.0,0.0,0.0,0.0
DIS_028,disambiguation,ITEM_16,fixed,0.022899,0.465,fixed_027,0.0,0.0,0.0,0.0,0.0,0.0
DIS_029,disambiguation,SECTION_8,fixed,0.025647,0.2916,fixed_028,0.0,0.0,0.0,0.0,0.0,0.0
DIS_030,disambiguation,SECTION_8,fixed,0.026432,0.4976,fixed_026,0.0,0.0,0.0,0.0,0.0,0.0
PL_001,product_location,ZONE_02,semantic,0.037722,0.5507,semantic_057,1.0,1.0,1.0,1.0,1.0,1.0
PL_002,product_location,ZONE_03,semantic,0.042709,0.518,semantic_060,1.0,1.0,1.0,1.0,1.0,1.0
PL_003,product_location,ZONE_04,semantic,0.037251,0.6738,semantic_059,1.0,1.0,1.0,1.0,1.0,1.0
PL_004,product_location,ITEM_14,semantic,0.03829,0.5593,semantic_070,1.0,1.0,1.0,1.0,1.0,1.0
PL_005,product_location,ITEM_05,semantic,0.036404,0.4985,semantic_061,1.0,1.0,1.0,1.0,1.0,1.0
PL_006,product_location,ITEM_10,semantic,0.03687,0.6196,semantic_066,1.0,1.0,1.0,1.0,1.0,1.0
PL_007,product_location,ITEM_18,semantic,0.041147,0.5421,semantic_074,1.0,1.0,1.0,1.0,1.0,1.0
PL_008,product_location,ITEM_19,semantic,0.041212,0.6445,semantic_075,1.0,1.0,1.0,1.0,1.0,1.0
PL_009,product_location,ITEM_15,semantic,0.049096,0.5968,semantic_071,1.0,1.0,1.0,1.0,1.0,1.0
PL_010,product_location,ITEM_04,semantic,0.045934,0.5006,semantic_060,1.0,1.0,1.0,1.0,1.0,1.0
PL_011,product_location,ITEM_09,semantic,0.037461,0.6428,semantic_065,1.0,1.0,1.0,1.0,1.0,1.0
PL_012,product_location,ITEM_17,semantic,0.038568,0.6022,semantic_073,1.0,1.0,1.0,1.0,1.0,1.0
PL_013,product_location,ITEM_16,semantic,0.036294,0.4755,semantic_072,1.0,1.0,1.0,1.0,1.0,1.0
PL_014,product_location,ITEM_04,semantic,0.030572,0.4832,semantic_060,1.0,1.0,1.0,1.0,1.0,1.0
PL_015,product_location,ITEM_03,semantic,0.036561,0.6162,semantic_059,1.0,1.0,1.0,1.0,1.0,1.0
PL_016,product_location,ITEM_18,semantic,0.034641,0.5088,semantic_074,1.0,1.0,1.0,1.0,1.0,1.0
PL_017,product_location,ITEM_12,semantic,0.026349,0.5801,semantic_068,1.0,1.0,1.0,1.0,1.0,1.0
PL_018,product_location,ITEM_14,semantic,0.025228,0.5657,semantic_070,1.0,1.0,1.0,1.0,1.0,1.0
PL_019,product_location,ITEM_04,semantic,0.023923,0.375,semantic_060,1.0,1.0,1.0,1.0,1.0,1.0
PL_020,product_location,ITEM_05,semantic,0.024601,0.5837,semantic_061,1.0,1.0,1.0,1.0,1.0,1.0
PL_021,product_location,ITEM_17,semantic,0.029473,0.5332,semantic_074,0.0,1.0,1.0,0.0,0.5,0.5
PL_022,product_location,ITEM_15,semantic,0.032745,0.3779,semantic_071,1.0,1.0,1.0,1.0,1.0,1.0
PL_023,product_location,ITEM_06,semantic,0.028535,0.6263,semantic_062,1.0,1.0,1.0,1.0,1.0,1.0
PL_024,product_location,ITEM_19,semantic,0.029719,0.6006,semantic_075,1.0,1.0,1.0,1.0,1.0,1.0
PL_025,product_location,ITEM_13,semantic,0.041286,0.5708,semantic_069,1.0,1.0,1.0,1.0,1.0,1.0
PL_026,product_location,ITEM_12,semantic,0.034627,0.6503,semantic_067,0.0,1.0,1.0,0.0,0.3333,0.3333
PL_027,product_location,ITEM_14,semantic,0.036878,0.5732,semantic_070,1.0,1.0,1.0,1.0,1.0,1.0
PL_028,product_location,ITEM_18,semantic,0.046798,0.5393,semantic_074,1.0,1.0,1.0,1.0,1.0,1.0
PL_029,product_location,ITEM_07,semantic,0.048832,0.7341,semantic_058,0.0,1.0,1.0,0.0,0.5,0.5
PL_030,product_location,ITEM_06,semantic,0.037148,0.4988,semantic_062,1.0,1.0,1.0,1.0,1.0,1.0
ZI_001,zone_identification,ZONE_02,semantic,0.045164,0.6426,semantic_003,0.0,1.0,1.0,0.0,0.5,0.5
ZI_002,zone_identification,ZONE_05,semantic,0.03511,0.6038,semantic_071,1.0,1.0,1.0,1.0,1.0,1.0
ZI_003,zone_identification,ZONE_06,semantic,0.03023,0.5782,semantic_040,1.0,1.0,1.0,1.0,1.0,1.0
ZI_004,zone_identification,ZONE_09,semantic,0.032382,0.5741,semantic_071,0.0,1.0,1.0,0.0,0.5,0.5
ZI_005,zone_identification,ZONE_08,semantic,0.028215,0.6395,semantic_003,0.0,0.0,1.0,0.0,0.0,0.25
ZI_006,zone_identification,ZONE_07,semantic,0.026044,0.6032,semantic_012,1.0,1.0,1.0,1.0,1.0,1.0
ZI_007,zone_identification,ZONE_05,semantic,0.025142,0.5954,semantic_072,1.0,1.0,1.0,1.0,1.0,1.0
ZI_008,zone_identification,ZONE_04,semantic,0.026369,0.5929,semantic_005,0.0,1.0,1.0,0.0,0.3333,0.3333
ZI_009,zone_identification,ZONE_06,semantic,0.025785,0.612,semantic_054,1.0,1.0,1.0,1.0,1.0,1.0
ZI_010,zone_identification,ZONE_09,semantic,0.026762,0.578,semantic_054,1.0,1.0,1.0,1.0,1.0,1.0
ZI_011,zone_identification,ZONE_03,semantic,0.024671,0.6272,semantic_003,0.0,0.0,1.0,0.0,0.0,0.2
ZI_012,zone_identification,AISLE_07,semantic,0.025941,0.5835,semantic_022,1.0,1.0,1.0,1.0,1.0,1.0
ZI_013,zone_identification,ZONE_09,semantic,0.031265,0.5228,semantic_087,1.0,1.0,1.0,1.0,1.0,1.0
ZI_014,zone_identification,ZONE_07,semantic,0.031809,0.6066,semantic_012,1.0,1.0,1.0,1.0,1.0,1.0
ZI_015,zone_identification,ZONE_05,semantic,0.043456,0.6282,semantic_005,0.0,1.0,1.0,0.0,0.5,0.5
ZI_016,zone_identification,AISLE_01,semantic,0.03594,0.604,semantic_015,0.0,1.0,1.0,0.0,0.3333,0.3333
ZI_017,zone_identification,ZONE_05,semantic,0.0449,0.5719,semantic_072,1.0,1.0,1.0,1.0,1.0,1.0
ZI_018,zone_identification,FEAT_03,semantic,0.049348,0.2508,semantic_080,0.0,0.0,0.0,0.0,0.0,0.0
ZI_019,zone_identification,ZONE_05,semantic,0.172459,0.5819,semantic_054,0.0,1.0,1.0,0.0,0.5,0.5
ZI_020,zone_identification,ZONE_09,semantic,0.185858,0.6864,semantic_014,1.0,1.0,1.0,1.0,1.0,1.0
ZI_021,zone_identification,FEAT_01,semantic,0.073236,0.2941,semantic_076,0.0,0.0,1.0,0.0,0.0,0.25
ZI_022,zone_identification,AISLE_02,semantic,0.036243,0.7181,semantic_015,0.0,1.0,1.0,0.0,0.5,0.5
ZI_023,zone_identification,ZONE_06,semantic,0.032679,0.6109,semantic_005,0.0,1.0,1.0,0.0,0.5,0.5
ZI_024,zone_identification,FEAT_06,semantic,0.031873,0.2984,semantic_082,1.0,1.0,1.0,1.0,1.0,1.0
ZI_025,zone_identification,AISLE_05,semantic,0.032741,0.6988,semantic_020,1.0,1.0,1.0,1.0,1.0,1.0
ZI_026,zone_identification,FEAT_02,semantic,0.035064,0.263,semantic_078,1.0,1.0,1.0,1.0,1.0,1.0
ZI_027,zone_identification,AISLE_04,semantic,0.028834,0.6514,semantic_019,1.0,1.0,1.0,1.0,1.0,1.0
ZI_028,zone_identification,ZONE_01,semantic,0.029419,0.6777,semantic_005,0.0,1.0,1.0,0.0,0.3333,0.3333
ZI_029,zone_identification,FEAT_04,semantic,0.028181,0.2969,semantic_076,0.0,1.0,1.0,0.0,0.5,0.5
ZI_030,zone_identification,AISLE_06,semantic,0.030322,0.6978,semantic_021,1.0,1.0,1.0,1.0,1.0,1.0
NAV_001,navigation,ROUTE_02,semantic,0.032798,0.757,semantic_037,1.0,1.0,1.0,1.0,1.0,1.0
NAV_002,navigation,ROUTE_03,semantic,0.040969,0.7024,semantic_038,1.0,1.0,1.0,1.0,1.0,1.0
NAV_003,navigation,ROUTE_05,semantic,0.031651,0.7408,semantic_048,0.0,1.0,1.0,0.0,0.5,0.5
NAV_004,navigation,ROUTE_07,semantic,0.031678,0.6536,semantic_047,0.0,1.0,1.0,0.0,0.5,0.5
NAV_005,navigation,ROUTE_09,semantic,0.042736,0.7429,semantic_044,1.0,1.0,1.0,1.0,1.0,1.0
NAV_006,navigation,ROUTE_10,semantic,0.038718,0.7753,semantic_045,1.0,1.0,1.0,1.0,1.0,1.0
NAV_007,navigation,ROUTE_11,semantic,0.025565,0.7278,semantic_046,1.0,1.0,1.0,1.0,1.0,1.0
NAV_008,navigation,ROUTE_13,semantic,0.026683,0.7422,semantic_048,1.0,1.0,1.0,1.0,1.0,1.0
NAV_009,navigation,ROUTE_14,semantic,0.02602,0.7405,semantic_049,1.0,1.0,1.0,1.0,1.0,1.0
NAV_010,navigation,ROUTE_15,semantic,0.031293,0.7593,semantic_050,1.0,1.0,1.0,1.0,1.0,1.0
NAV_011,navigation,ROUTE_08,semantic,0.022603,0.7169,semantic_043,1.0,1.0,1.0,1.0,1.0,1.0
NAV_012,navigation,ROUTE_06,semantic,0.023144,0.7389,semantic_037,0.0,0.0,1.0,0.0,0.0,0.25
NAV_013,navigation,ROUTE_04,semantic,0.02299,0.6891,semantic_047,0.0,0.0,1.0,0.0,0.0,0.25
