question_id,category,method,rubric_score,hallucination,gen_latency_s,citation_faithfulness,faithfulness,answer_relevancy,context_precision,context_recall,judge_reasoning,answer
PL_019,product_location,fixed,3,0,1.0417,0.8344,1.0,0.7249,0.8667,1.0,"The generated answer accurately reflects the location of the eggs as stated in the ground truth, with only minor wording differences.","You can find eggs in the Dairy Fridge (ZONE_03), in the south-west corner against the west wall."
PL_020,product_location,fixed,3,0,1.1569,0.7877,1.0,0.7333,0.8042,1.0,"The generated answer is fully correct and complete, matching the ground truth exactly.","The cold water bottles are located in Fridge 2 (ZONE_07), along the south wall of the store."
PL_021,product_location,fixed,3,0,1.5048,0.7833,1.0,0.7775,0.8333,1.0,"The generated answer is fully correct and complete, accurately reflecting the ground truth answer.","Toilet paper is located on Shelf A in the East Shelving Area (ZONE_09), which is the northernmost horizontal shelf directly south of the cashier area."
PL_022,product_location,fixed,0,0,0.8307,0.5882,1.0,0.0,0.25,0.0,"The generated answer incorrectly states that the context does not provide information about the location of jam, while the ground truth specifies that jam is on Shelf 3 in the Main Shelving Area.",The context does not provide information about the location of jam in the store.
PL_023,product_location,fixed,3,0,1.2746,0.8881,0.6667,0.975,0.8042,1.0,"The generated answer correctly identifies the location of ready-to-eat sandwiches in Fridge 3 (ZONE_07) and accurately describes it as the ready meals fridge, matching the ground truth.","You can find ready-to-eat sandwiches in Fridge 3 (ZONE_07), which is the ready meals fridge."
PL_024,product_location,fixed,3,0,1.5307,0.8031,1.0,0.7934,0.9167,1.0,The generated answer accurately and completely matches the ground truth answer regarding the location of the dry cat food.,"The dry cat food is located on Shelf C in the East Shelving Area (ZONE_09), which is accessed via AISLE_06 or the south aisle (AISLE_07)."
PL_025,product_location,fixed,3,0,1.6383,0.8157,1.0,0.9476,0.7,1.0,The generated answer accurately reflects the location of room-temperature bottled water as stated in the ground truth.,You can find room-temperature bottled water on Shelf 1 in the Main Shelving Area (ZONE_05).
PL_026,product_location,fixed,2,0,1.1675,0.656,0.0,0.9607,0.6792,1.0,"The generated answer correctly identifies the location of the frozen meat but omits the detail that all meat in the store is frozen, which is part of the ground truth.",The frozen meat is in Freezer 2 (ZONE_06).
PL_027,product_location,fixed,2,0,0.975,0.7468,1.0,0.8886,0.8056,1.0,The generated answer is mostly correct but omits the detail about accessing Shelf 2 via AISLE_02 or AISLE_03.,Cereals can be found on Shelf 2 in the Main Shelving Area (ZONE_05).
PL_028,product_location,fixed,3,0,2.1282,0.7371,1.0,0.8984,1.0,1.0,The generated answer accurately and completely matches the ground truth answer regarding the location of the deodorant.,Deodorant is located on Shelf B in the East Shelving Area (ZONE_09).
PL_029,product_location,fixed,2,0,1.3082,0.6788,1.0,0.9412,0.6792,1.0,The generated answer is mostly correct but inaccurately states that the frozen vegetables are 'at the back of the store' instead of specifying they are in the 'south-centre'.,Frozen vegetables are in Freezer 1 (ZONE_06) at the back of the store.
PL_030,product_location,fixed,3,0,0.9666,0.7167,0.5,0.9366,0.5,1.0,The generated answer accurately states the location of the ham in Fridge 3 (ZONE_07) and correctly identifies it as part of the ready meals fridge.,"Ham is located in Fridge 3 (ZONE_07), which is the ready meals fridge."
ZI_001,zone_identification,fixed,2,0,1.565,0.765,1.0,0.4809,0.7,1.0,The generated answer is mostly correct but omits the detail about the two open display tables with fresh fruit and vegetables.,The north-west corner of the store contains the fresh produce displays.
ZI_002,zone_identification,fixed,1,0,1.026,0.4651,1.0,1.0,0.325,1.0,"The generated answer is partially correct as it identifies that Shelf 1 contains beverages, but it lacks the detail about the specific types of beverages and the shelf's location.",Shelf 1 contains beverages.
ZI_003,zone_identification,fixed,3,0,1.2035,0.816,1.0,0.9096,0.9167,1.0,The generated answer accurately reflects the contents of Freezer 2 as stated in the ground truth.,"Freezer 2 contains ice cream, frozen ready meals, and frozen fish and meat."
ZI_004,zone_identification,fixed,3,0,1.236,0.6261,1.0,0.9171,0.5833,1.0,The generated answer accurately reflects the contents of Shelf A as described in the ground truth.,"Shelf A contains household and cleaning products, including laundry detergent, dish soap, sponges, paper towels, toilet paper, and surface cleaners."
ZI_005,zone_identification,fixed,3,0,1.6686,0.5991,1.0,0.6356,0.8667,1.0,"The generated answer accurately describes the north-east corner of the store, including the cashier area and the TV screen, matching the details provided in the context.","The north-east corner of the store contains the cashier area, which consists of a single large cashier desk where customers pay for their goods. A TV screen is also mounted on the east wall just to the east of the cashier desk."
ZI_006,zone_identification,fixed,3,0,1.5127,0.6862,1.0,0.8554,0.7,1.0,The generated answer accurately reflects the contents of Fridge 3 as described in the ground truth.,"Fridge 3 contains ready meals and deli products, including pre-packaged sandwiches, salads, sliced cold cuts, ham, salami, and ready-to-eat meals."
ZI_007,zone_identification,fixed,3,0,1.4241,0.7654,1.0,0.8904,0.25,0.5,The generated answer accurately reflects the contents of Shelf 4 as described in the ground truth.,"Shelf 4 contains snacks and confectionery items, including chips/crisps, chocolate, biscuits/cookies, sweets/candy, and nuts."
ZI_008,zone_identification,fixed,2,0,1.0739,0.8264,1.0,1.0,0.8333,1.0,The generated answer correctly identifies ZONE_04 as the Bakery Section but omits specific details about its location and the types of items it contains.,"ZONE_04 refers to the Bakery Section, which consists of two shelves in the centre-north area below the barriers."
ZI_009,zone_identification,fixed,3,0,1.1742,0.7218,1.0,0.9111,1.0,1.0,The generated answer accurately reflects the contents of Freezer 1 as stated in the ground truth.,"Freezer 1 contains frozen vegetables, frozen fruit, and frozen pizzas."
ZI_010,zone_identification,fixed,3,0,0.9602,0.677,1.0,0.9254,1.0,1.0,The generated answer accurately reflects the contents of Shelf B as described in the ground truth.,"Shelf B contains personal care and toiletries, including shampoo, toothpaste, deodorant, hand soap, and shower gel."
ZI_011,zone_identification,fixed,1,0,1.3266,0.688,0.5,0.9595,0.75,1.0,The generated answer is partially correct as it mentions the presence of fridges in the south-west corner but fails to specify that the dairy fridge (Fridge 1) is the primary item there and does not mention its contents.,The south-west corner of the store houses three fridges and two freezers.
ZI_012,zone_identification,fixed,3,0,1.7852,0.7419,1.0,0.8976,0.5333,1.0,"The generated answer accurately describes the connections of AISLE_07 to ZONE_06 and ZONE_07, matching the details provided in the ground truth.",AISLE_07 connects to ZONE_06 (Frozen Foods Section) to the west and ZONE_07 (Fridge 2 and Fridge 3) along the south wall.
ZI_013,zone_identification,fixed,2,0,3.2197,0.7335,1.0,0.6946,0.5,0.6667,The generated answer correctly identifies Shelf C's location and contents but omits the detail that it is the southernmost horizontal shelf and the access aisles.,"Shelf C is located in the East Shelving Area (ZONE_09) and holds pet food and pet supplies, including dry dog food, dry cat food, canned pet food, and pet treats."
ZI_014,zone_identification,fixed,3,0,1.253,0.6383,1.0,1.0,0.8333,1.0,The generated answer accurately reflects the contents of Fridge 2 as described in the ground truth.,"Fridge 2 contains cold drinks, including cold water bottles, soft drinks, beer, cold juice, and iced tea."
ZI_015,zone_identification,fixed,3,0,1.4833,0.6659,1.0,0.6592,1.0,1.0,The generated answer accurately reflects the ground truth by correctly identifying ZONE_05 as the Main Shelving Area and detailing the contents of each shelf.,"ZONE_05, the Main Shelving Area, contains four vertical shelf rows: Shelf 1 (beverages), Shelf 2 (pasta, rice, cereals), Shelf 3 (canned and jarred goods), and Shelf 4 (snacks and confectionery)."
ZI_016,zone_identification,fixed,3,0,1.3976,0.7171,0.1667,0.9067,0.2,1.0,"The generated answer accurately describes the connections of AISLE_01 to ZONE_02 and ZONE_03, matching the ground truth.",AISLE_01 connects to ZONE_02 (Fresh Produce Section) to the north and ZONE_03 (Dairy Fridge) to the south.
ZI_017,zone_identification,fixed,0,0,1.8313,0.5652,1.0,0.0,0.2,1.0,"The generated answer incorrectly states that the context does not provide information about Shelf 3, while the ground truth clearly specifies that Shelf 3 holds canned and jarred goods.",The context does not provide information about what is on Shelf 3.
ZI_018,zone_identification,fixed,2,0,1.3465,0.6486,1.0,0.9576,1.0,1.0,The generated answer is mostly correct but omits the specific location of the barriers relative to the entrance and the cashier desk.,"FEAT_03 refers to the Barrier Queue Dividers, which are mounted to guide customers into the fresh produce section and block direct passage from the entrance."
ZI_019,zone_identification,fixed,2,0,1.0654,0.6292,1.0,0.9358,0.4167,1.0,The generated answer correctly identifies the main items on Shelf 2 but omits specific details such as the types of pasta and cereals included.,"Shelf 2 contains pasta, rice, and cereals."
ZI_020,zone_identification,fixed,3,0,1.6445,0.6708,1.0,0.7957,0.7,1.0,"The generated answer accurately and completely describes the contents of the East Shelving Area, matching the ground truth.","The east shelving area (ZONE_09) contains three horizontal shelf rows: 

- Shelf A holds household and cleaning products.
- Shelf B holds personal care and toiletries.
- Shelf C holds pet food and pet supplies."
ZI_021,zone_identification,fixed,0,0,0.9271,0.6776,1.0,0.0,0.0,0.0,"The generated answer states that the context does not provide information about FEAT_01, which is incorrect as the ground truth clearly defines FEAT_01 as the Basket Pile located to the right of the entrance.",The context does not provide information about FEAT_01.
ZI_022,zone_identification,fixed,2,0,1.476,0.8331,0.5,1.0,0.75,1.0,The generated answer correctly identifies the shelves AISLE_02 runs between but omits the connection to the Fresh Produce Section and the Frozen Foods Section.,"AISLE_02 runs between Shelf 1 (beverages) and Shelf 2 (pasta, rice, and cereals)."
ZI_023,zone_identification,fixed,3,0,1.9845,0.7551,1.0,0.8097,0.9167,1.0,"The generated answer accurately describes ZONE_06, including its location, contents, and adjacent zones, matching the ground truth.","ZONE_06 is the Frozen Foods Section, located in the south-centre of the store. It contains two large freezers, Freezer 1 and Freezer 2, which hold frozen vegetables, frozen fruit, frozen pizzas, ice cream, frozen ready meals, and frozen fish and meat. It is adjacent to the Main Shelving Area (ZONE_05), the Dairy Fridge (ZONE_03), the Cold Drinks and Ready Meals Fridges (ZONE_07), and AISLE_07."
ZI_024,zone_identification,fixed,3,0,1.284,0.6708,1.0,1.0,1.0,1.0,"The generated answer accurately describes FEAT_06 as a re-supply cart located at the specified position in the East Shelving Area, matching the ground truth.","FEAT_06 is a re-supply cart parked at the north end of the East Shelving Area (ZONE_09), between Shelf A and the cashier."
ZI_025,zone_identification,fixed,2,0,0.8516,0.7413,1.0,1.0,0.7,1.0,The generated answer is mostly correct but omits the specific details about the direction (east to west) and the context of the shelves (household and cleaning products on the north side and personal care and toiletries on the south side).,AISLE_05 runs between Shelf A and Shelf B.
ZI_026,zone_identification,fixed,3,0,1.4735,0.5975,1.0,1.0,0.3333,1.0,"The generated answer accurately and completely describes FEAT_02 as the Shopping Cart Bay at the entrance, including its location and function.","FEAT_02 is the Shopping Cart Bay at the Entrance. It is immediately to the left of the entrance doors when entering, where customers can collect a shopping cart."
ZI_027,zone_identification,fixed,3,0,1.4686,0.7455,0.75,1.0,0.8667,1.0,"The generated answer accurately describes the location of AISLE_04, including the shelves it runs between and their contents, matching the ground truth.","AISLE_04 runs between Shelf 3 (canned and jarred goods) and Shelf 4 (snacks: chips, chocolate, biscuits, sweets, nuts)."
ZI_028,zone_identification,fixed,1,0,1.2332,0.8517,1.0,0.8511,0.5,1.0,The generated answer correctly identifies ZONE_01 as the Entrance Area but omits details about its location and the barriers that block direct passage south.,"ZONE_01 is the Entrance Area of the store, which is the only entry and exit point. Customers must turn right to enter the fresh produce section from this area."
ZI_029,zone_identification,fixed,2,0,1.2683,0.5237,1.0,0.7289,0.45,1.0,The generated answer is mostly correct but contains a minor omission regarding the specific location of the TV screen being 'just east of the cashier desk' instead of 'in front of the cashier's desk'.,"FEAT_04 is a TV screen mounted on the east wall in the north-east corner of the store, in front of the cashier's desk."
ZI_030,zone_identification,fixed,2,0,1.982,0.7732,1.0,1.0,0.8667,1.0,The generated answer is mostly correct but omits the specific detail about AISLE_06 running in the East Shelving Area (ZONE_09) and the directional information (east to west).,AISLE_06 runs between Shelf B (personal care and toiletries) and Shelf C (pet food and pet supplies).
NAV_001,navigation,fixed,3,0,5.3099,0.8578,1.0,0.5867,0.5333,1.0,The generated answer accurately follows the instructions provided in the ground truth and includes the correct identification of Fridge 1 as the dairy fridge.,"From the entrance, turn right into the produce section. Walk south along the west wall through AISLE_01, passing the re-supply cart. Continue south all the way to the south-west corner. Fridge 1 (the dairy fridge) is the upright fridge in the south-west corner against the west wall."
NAV_002,navigation,fixed,3,0,1.1885,0.7973,1.0,0.825,1.0,1.0,"The generated answer is fully correct and complete, matching the ground truth answer exactly.","From the entrance, turn right into the produce section, then walk south through any aisle of the main shelving area, and then walk east. The bakery shelves are in the centre-north area, just south of the barriers and west of the cashier desk."
NAV_003,navigation,fixed,3,0,1.4574,0.7329,1.0,0.6328,0.5333,1.0,"The generated answer is identical to the ground truth answer, providing a fully correct and complete set of directions to reach the frozen foods section.","From the entrance, turn right into the produce section, then walk south through any aisle in the main shelving area. Continue all the way to the back of the store. The two chest freezers are at the south end in the center."
NAV_004,navigation,fixed,2,0,1.5645,0.6941,1.0,0.9213,0.8042,1.0,The generated answer is mostly correct but omits the important detail that the cashier is exit only and cannot be used to enter the store.,"From the entrance, turn right into the produce section, walk south through the main shelving area, and then walk east. The cashier desk is in the north-east corner. To exit, go west into the entrance past the cashier."
NAV_005,navigation,fixed,2,0,1.6792,0.7786,1.0,0.9197,0.8042,1.0,The generated answer is mostly correct but includes an unnecessary detail about exiting that is not part of the ground truth.,"From the Fresh Produce Section (ZONE_02), walk a short way south through any aisle of the main shelving area, and then walk east. The cashier desk is in the north-east corner. To exit, go west into the entrance past the cashier."
NAV_006,navigation,fixed,3,0,1.6073,0.7702,1.0,0.7098,0.95,1.0,"The generated answer accurately reflects the route from the Dairy fridge to the cashier, matching the ground truth in detail and direction.","From the Dairy fridge, walk north-east past the freezers, and in between the Main Shelving Area and the East Shelving Area's open floor. The cashier desk is in the north-east corner."
NAV_007,navigation,fixed,3,0,0.9561,0.7778,1.0,0.8833,0.8875,1.0,"The generated answer is fully correct and complete, matching the ground truth answer in both content and detail.","From the bakery section, walk east. The cashier desk is in the north-east corner, just past the open floor space."
NAV_008,navigation,fixed,3,0,3.1694,0.8015,1.0,0.9373,1.0,1.0,"The generated answer accurately follows the route from the frozen foods section to the cashier, matching the ground truth instructions and including all necessary details.","From the Frozen Foods section (ZONE_06), walk east. At the open floor between the Main Shelving Area and East Shelving Area, walk north through the open floor. The cashier desk is in the north-east corner. To exit, go west into the entrance past the cashier."
NAV_009,navigation,fixed,3,0,1.8406,0.8508,0.5,0.9403,1.0,1.0,"The generated answer accurately follows the route from Fridge 2 to the cashier, matching the ground truth in detail and direction.","From Fridge 2, walk north-east through the open area between the Main Shelving Area and the East Shelving Area until you reach the bakery section, then walk east into the cashier area. The cashier desk is in the north-east corner."
NAV_010,navigation,fixed,3,0,1.2926,0.7667,1.0,0.6893,0.8042,1.0,"The generated answer is fully correct and complete, accurately reflecting the route to the cashier as described in the ground truth.","From the east shelving area, walk north past Shelf A and the re-supply cart. The cashier desk is in the north-east corner."
NAV_011,navigation,fixed,3,0,1.8386,0.8613,1.0,0.9893,1.0,1.0,"The generated answer accurately follows the instructions provided in the ground truth, including all necessary steps and landmarks.","To get to the east shelving area from the entrance, turn right into the fresh produce section, walk south through the main shelving area, then walk east past Shelf 4. The east shelving area is on the east side of the store."
NAV_012,navigation,fixed,2,0,1.8918,0.8742,1.0,0.7598,0.4778,1.0,"The generated answer is mostly correct but includes unnecessary details about passing a re-supply cart and specific aisles, which are not mentioned in the ground truth.","From the entrance, turn right into the produce section. Walk south along the west wall through AISLE_01, passing the re-supply cart. Continue south all the way to the south-west corner. Fridge 2 and Fridge 3 are located along the south wall, with Fridge 2 to the west of Fridge 3."
NAV_013,navigation,fixed,1,0,1.8988,0.7145,1.0,0.9871,0.9167,0.5,The generated answer correctly identifies the need to turn right into the fresh produce section but inaccurately states to proceed south through the main shelving area instead of specifying the aisles leading to it.,"To get to the main shelving area from the entrance, turn right into the fresh produce section (ZONE_02) and then proceed south through the main shelving area."
NAV_014,navigation,fixed,3,0,2.3181,0.8416,1.0,1.0,0.7,1.0,"The generated answer accurately describes the route to pick up bread, milk, and eggs, matching the details provided in the ground truth.","The best route to pick up bread, milk, and eggs is: from the entrance, turn right into the produce section, then walk south through AISLE_01 to Fridge 1 in the south-west corner for milk and eggs, walk east along the bottom, then north through the open floor between the shelving areas to reach the bakery in the centre-north for bread, then exit via cashier."
NAV_015,navigation,fixed,3,0,1.6682,0.707,0.75,0.7408,1.0,1.0,The generated answer accurately follows the route and item locations as described in the ground truth.,"A good route is: from the entrance, turn right into the produce section, then enter AISLE_03 from the north. Pick up pasta from Shelf 2 on your west side and pasta sauce from Shelf 3 on your east side. Continue south, then turn west to reach Fridge 1 in the south-west corner for cheese."
NAV_016,navigation,fixed,2,0,2.2549,0.8392,0.25,0.9914,0.8667,0.3333,The generated answer is mostly correct but omits specific details about entering AISLE_03 or AISLE_04 to reach Shelf 3.,"To get to Shelf 3 from the entrance, turn right into the fresh produce section, walk south through any aisle of the main shelving area, and then continue to navigate to Shelf 3, which is located in the main shelving area."
NAV_017,navigation,fixed,3,0,1.354,0.8474,1.0,0.9357,1.0,1.0,The generated answer accurately reflects the ground truth by stating that the cashier is exit only and that customers must go through the fresh produce section to enter the store.,"No, you cannot walk directly from the entrance to the cashier because the cashier is exit only and is not used to enter the store. You must first go through the fresh produce section."
NAV_018,navigation,fixed,3,0,2.018,0.7446,1.0,0.9434,0.95,1.0,"The generated answer accurately describes the route from the Main Shelving Area to the cashier, matching the ground truth and including additional relevant details.","To get from the Main Shelving Area (ZONE_05) to the Cashier Area (ZONE_08), walk east towards the north-east of the store. The cashier desk is in the north-east corner. To exit, go west into the entrance past the cashier."
NAV_019,navigation,fixed,2,0,3.5206,0.7618,1.0,1.0,0.7556,0.8,The generated answer is mostly correct but omits the specific instruction to turn right into the produce section and walk south through any aisle before reaching the East Shelving Area.,"A good route is: from the entrance, walk east to the East Shelving Area (ZONE_09), access Shelf A to pick up laundry detergent, then move to AISLE_05 or AISLE_06 to access Shelf B for shampoo."
NAV_020,navigation,fixed,2,0,1.4484,0.8296,0.5,0.9865,0.5333,0.5,The generated answer is mostly correct but omits the specific mention of AISLE_07 and the detail that Fridge 1 is to the west of the freezers.,"To get to Fridge 1 from Fridge 2, walk west along the south wall until you reach the Dairy Fridge (Fridge 1) located in the south-west corner against the west wall."
NAV_021,navigation,fixed,3,0,1.6424,0.7997,1.0,0.8085,0.8333,1.0,"The generated answer accurately follows the route provided in the ground truth, including all necessary items and their locations.","The best route is: pick up fresh vegetables in the produce section on entry, walk south through AISLE_01 to Fridge 1 for dairy, then walk east through AISLE_07 to access Shelf C for dog food."
NAV_022,navigation,fixed,3,0,3.1657,0.8597,1.0,0.9838,0.8875,0.6667,The generated answer accurately follows the instructions provided in the context and matches the ground truth answer without any omissions or inaccuracies.,"To get to Shelf A from the entrance, turn right into the produce section, walk south through any aisle of the main shelving area, then walk east past Shelf 4 to reach the east shelving area where Shelf A is located."
NAV_023,navigation,fixed,2,0,1.7748,0.8906,1.0,0.98,0.8875,1.0,The generated answer is mostly correct but omits the detail that the fresh produce section is in the north-west corner and does not mention the display tables.,"To reach the fresh produce section from the entrance, turn right into the produce section. It is immediately on your right after entering."
NAV_024,navigation,fixed,0,0,0.9782,0.6285,1.0,0.0,0.4778,1.0,"The generated answer incorrectly states that no directions to Shelf C are provided, despite the ground truth containing specific instructions.",The information provided does not include directions to Shelf C from the entrance.
NAV_025,navigation,fixed,3,0,2.5148,0.8531,1.0,0.749,0.4778,1.0,"The generated answer accurately describes the route to Freezer 1, matching the ground truth in detail and clarity.","From the entrance, turn right into the produce section, then walk south through any aisle in the main shelving area. Continue all the way to the back of the store. Freezer 1 is located at the south end in the center, next to Freezer 2."
NAV_026,navigation,fixed,1,0,1.1688,0.7496,1.0,0.9079,1.0,0.5,"The generated answer is partially correct as it mentions exiting after paying but incorrectly states to go west into the entrance, while the ground truth specifies exiting through the cashier area towards the entrance door on the north wall.","To exit the store after paying, go west into the entrance past the cashier."
NAV_027,navigation,fixed,1,0,1.2092,0.7875,0.0,0.0,0.3667,0.5,"The generated answer acknowledges the lack of specific instructions but does not provide any useful guidance on how to reach Fridge 3 from the bakery, resulting in a significant gap.",The context does not provide specific instructions for getting from the bakery to Fridge 3.
NAV_028,navigation,fixed,3,0,1.691,0.8277,1.0,0.8096,0.8042,1.0,"The generated answer accurately describes the route to collect chips, chocolate, soft drinks, and beer, matching the details provided in the ground truth.","A good route for chips, chocolate, soft drinks, and beer is: from the entrance, turn right into the produce section, walk south through AISLE_02 to reach Shelf 1 for room-temperature soft drinks, then continue through AISLE_04 to reach Shelf 4 for chips and chocolate. After that, continue south along the south wall to Fridge 2 for beer."
NAV_029,navigation,fixed,3,0,1.8893,0.8339,0.6667,0.9744,0.8667,1.0,"The generated answer accurately describes the route to AISLE_07 from the east shelving area, including the relevant landmarks and directions.","To get to AISLE_07 from the East Shelving Area, walk south past Shelf C, which holds pet food and pet supplies. AISLE_07 is located between Shelf C and the south wall."
NAV_030,navigation,fixed,1,1,1.6316,0.9183,0.0,0.9882,0.8042,0.0,"The generated answer incorrectly states to walk north to the bakery section and east into the cashier area, which is not supported by the context provided.","To get from Freezer 2 to Shelf B, walk north from Freezer 2 through the open area until you reach the bakery section. Then, walk east into the cashier area. From there, you can access Shelf B by moving to AISLE_05 or AISLE_06."
SR_001,spatial_relations,fixed,3,0,1.7159,0.5963,0.6667,0.974,1.0,1.0,The generated answer accurately reflects the ground truth answer with no omissions or inaccuracies.,To the north of the frozen foods section (ZONE_06) is the main shelving area (ZONE_05).
SR_002,spatial_relations,fixed,0,1,1.3183,0.6702,0.5,0.676,1.0,1.0,"The generated answer incorrectly states that Fridge 2 is to the east of the Dairy Fridge, while the ground truth specifies that the Frozen Foods Section is to the east.",To the east of the dairy fridge (Fridge 1) is Fridge 2.
SR_003,spatial_relations,fixed,2,0,1.163,0.4917,1.0,0.511,1.0,1.0,The generated answer correctly identifies the barrier queue dividers as being directly south of the entrance but omits the detail about them blocking direct passage and directing customers to the fresh produce section.,Directly south of the entrance are the barrier queue dividers (FEAT_03).
SR_004,spatial_relations,fixed,2,0,1.1315,0.6838,1.0,0.644,1.0,1.0,The generated answer correctly identifies the bakery section to the west of the cashier area but omits the mention of the open floor space and the barrier queue dividers that are also to the west.,To the west of the cashier area is the bakery section (ZONE_04).
SR_005,spatial_relations,fixed,3,0,1.7995,0.456,1.0,0.6814,0.325,1.0,"The generated answer accurately describes the north side of AISLE_05 as Shelf A and includes additional details about the products found there, which are consistent with the ground truth.","The north side of AISLE_05 has Shelf A, which holds household and cleaning products such as detergent, dish soap, sponges, paper towels, and surface cleaners."
SR_006,spatial_relations,fixed,3,0,0.9619,0.5722,1.0,0.0,1.0,1.0,The generated answer accurately reflects the lack of information in the context regarding what is located to the south of the bakery section.,The context does not provide information about what is located to the south of the bakery section.
SR_007,spatial_relations,fixed,2,0,1.1829,0.5804,1.0,0.9544,0.5333,1.0,The generated answer is mostly correct but omits the detail that Shelf 1 holds beverages at room temperature.,"To the west of AISLE_02 is Shelf 1, which holds beverages."
SR_008,spatial_relations,fixed,2,0,1.1271,0.6271,1.0,0.7441,0.6389,1.0,"The generated answer correctly identifies that Fridge 1 is against the west wall, but it omits the detail that it is located in the south-west corner of the store.",Fridge 1 is against the west wall.
